"","Year Day","ShW T","ShW T anom","ShW S","ShW S anom","ShW Vol","ShW Vol anom","Year"
"144",266,16.08,0.22,32.33,-0.4,4080.847,297.342,2011.729
"145",312,14.85,0.2,32.71,-0.22,4162.612,603.419,2011.854
"146",47,8.48,2.69,32.97,-0.06,3354.139,-471.45,2012.13
"147",77,8.59,2.75,32.91,-0.02,3375.191,-364.051,2012.211
"148",156,12.16,2.27,32.76,0.14,4699.235,-165.064,2012.427
"149",224,15.38,1.42,32.76,0.16,4493.849,-155.903,2012.614
"150",266,17.34,1.48,32.86,0.13,3326.418,-457.087,2012.729
"151",314,14.38,-0.08,32.96,0.02,2938.435,-634.985,2012.861
"152",46,6.17,0.35,33.31,0.28,2347.327,-1484.43,2013.127
"153",85,6.31,0.22,33.39,0.49,3444.437,-320.1,2013.233
"154",169,12.16,1.51,32.95,0.36,4165.109,-869.457,2013.464
"155",263,15.71,-0.09,32.89,0.17,4034.703,203.106,2013.721
"156",84,4.42,-1.65,33.04,0.14,3082.452,-678.653,2014.231
"157",268,18.37,2.48,32.86,0.12,2236.363,-1518.905,2014.734
"158",319,14.48,0.38,33.23,0.27,2427.652,-1174.388,2014.873
"159",86,4.6,-1.52,33.32,0.42,2764.174,-1004.027,2015.235
"160",142,9.22,0.1,33.18,0.52,3786.187,-839.277,2015.39
"161",257,17.68,2.07,32.93,0.23,2711.786,-1239.808,2015.703
"162",287,18.17,2.33,33.18,0.35,2036.584,-1517.259,2015.787
"163",113,8.72,1.27,32.99,0.21,3290.167,-781.292,2016.31
"164",148,10.59,1.13,32.89,0.25,4108.689,-625.97,2016.406
"165",225,14.97,0.99,32.75,0.15,4594.753,-47.516,2016.615
"166",265,17.28,1.43,32.86,0.13,3150.081,-645.118,2016.727
"167",84,6.14,0.07,33.21,0.31,3671.499,-89.606,2017.231
"168",141,9.74,0.7,32.84,0.17,4404.188,-193.032,2017.386
"169",310,17.01,2.25,32.77,-0.15,3397.635,-154.352,2017.85
"170",92,6.44,0.05,33,0.13,3449.703,-362.095,2018.253
"171",239,14.81,0.01,32.62,-0.01,4704.85,372.215,2018.654
"172",257,16.09,0.46,32.71,0.01,4235.193,297.661,2018.705
"173",312,15,0.37,32.77,-0.16,3983.618,422.516,2018.855
"174",83,6.59,0.59,32.84,-0.07,4075.392,321.855,2019.226
"175",231,14.61,0.26,32.34,-0.27,3912.977,-597.589,2019.632
"176",263,16.84,1.05,32.36,-0.36,2741.076,-1096.774,2019.72
"177",293,17.59,1.93,32.94,0.09,2237.02,-1292.265,2019.804
"178",88,7.11,0.91,32.98,0.09,3259.243,-521.358,2021.241
"179",264,18.94,3.12,32.63,-0.1,2342.669,-1470.486,2021.724
"180",292,18.35,2.63,33.05,0.21,2458.259,-1076.249,2021.799
