"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","n_data_points","pval","sig"
"1","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-693516804.219683,30,0.186107923908792,FALSE
"2","Black sea bass","Mid",1989,3194,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",157001356.162562,30,0.43314094988747,FALSE
"3","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-698830200.236653,30,0.186107923908792,FALSE
"4","Black sea bass","Mid",1990,3040,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",279139884.924057,30,0.43314094988747,FALSE
"5","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-721772565.453045,30,0.186107923908792,FALSE
"6","Black sea bass","Mid",1991,3142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",88131218.5676006,30,0.43314094988747,FALSE
"7","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-324766653.753314,30,0.186107923908792,FALSE
"8","Black sea bass","Mid",1992,2914,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",9728011.90217185,30,0.43314094988747,FALSE
"9","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-506851274.921373,30,0.186107923908792,FALSE
"10","Black sea bass","Mid",1993,3573,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",-194011741.415879,30,0.43314094988747,FALSE
"11","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",633230584.986313,30,0.186107923908792,FALSE
"12","Black sea bass","Mid",1994,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",-135923598.125871,30,0.43314094988747,FALSE
"13","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",226496155.869398,30,0.186107923908792,FALSE
"14","Black sea bass","Mid",1995,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",-194753876.024291,30,0.43314094988747,FALSE
"15","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-577313216.915011,30,0.186107923908792,FALSE
"16","Black sea bass","Mid",1996,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",4361202843.77859,30,0.43314094988747,FALSE
"17","Black sea bass","Mid",1997,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-706424589.503137,30,0.186107923908792,FALSE
"18","Black sea bass","Mid",1997,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",-68629094.1584727,30,0.43314094988747,FALSE
"19","Black sea bass","Mid",1998,2263,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-513632879.463196,30,0.186107923908792,FALSE
"20","Black sea bass","Mid",1998,2263,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",184260776.501799,30,0.43314094988747,FALSE
"21","Black sea bass","Mid",1999,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-724080283.485416,30,0.186107923908792,FALSE
"22","Black sea bass","Mid",1999,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",-146687967.596838,30,0.43314094988747,FALSE
"23","Black sea bass","Mid",2000,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-672013104.278581,30,0.186107923908792,FALSE
"24","Black sea bass","Mid",2000,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",201059653.756612,30,0.43314094988747,FALSE
"25","Black sea bass","Mid",2001,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-680148112.708971,30,0.186107923908792,FALSE
"26","Black sea bass","Mid",2001,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",36954321.6755327,30,0.43314094988747,FALSE
"27","Black sea bass","Mid",2002,5518,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-623518512.010907,30,0.186107923908792,FALSE
"28","Black sea bass","Mid",2002,5518,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","small
Absolute Number of Individuals",-240874627.652101,30,0.43314094988747,FALSE
"29","Black sea bass","Mid",2003,4595,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","large
Absolute Number of Individuals",-576025501.38837,30,0.186107923908792,FALSE
