"","Species","Region","Time","Value","Metric","Description","Units","AssessmentYear","max_year","facet","Var","Val","missing","n_data_points","pval","sig"
"1","Black sea bass","Mid",1993,2443,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",0.305826872333333,FALSE,25,0.0381675239894229,TRUE
"2","Black sea bass","Mid",1994,3171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",0.665447415333333,FALSE,25,0.0381675239894229,TRUE
"3","Black sea bass","Mid",1995,4724,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",1.47168778475,FALSE,25,0.0381675239894229,TRUE
"4","Black sea bass","Mid",1996,3973,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",-0.247053804833333,FALSE,25,0.0381675239894229,TRUE
"5","Black sea bass","Mid",1997,2263,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",-0.724616407,FALSE,25,0.0381675239894229,TRUE
"6","Black sea bass","Mid",1998,2736,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",-0.938718915333333,FALSE,25,0.0381675239894229,TRUE
"7","Black sea bass","Mid",1999,3939,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",-0.381520641583333,FALSE,25,0.0381675239894229,TRUE
"8","Black sea bass","Mid",2000,5025,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",1.14645195708333,FALSE,25,0.0381675239894229,TRUE
"9","Black sea bass","Mid",2001,5518,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",-0.330385732083333,FALSE,25,0.0381675239894229,TRUE
"10","Black sea bass","Mid",2002,4595,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",0.192448056083333,FALSE,25,0.0381675239894229,TRUE
"11","Black sea bass","Mid",2003,3521,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",-0.803570048583333,FALSE,25,0.0381675239894229,TRUE
"12","Black sea bass","Mid",2004,3173,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","gulf stream index
latitude anomaly",-0.932953449833333,FALSE,25,0.0381675239894229,TRUE
